,rating,rating_title,rating_description,rating_pros,rating_cons
11,3.0,Produktiver Arbeitsort,- man hält jeden Tag ein Meeting und redet darüber was man besser machen kann und was sich alles ändert.. - Die Kunden waren manchmal sehr anstrengend gewesen . - Wie man sich bei Stresssituation sich am besten verhält,Coupons,
12,5.0,Productive and fun,"Over working at Stormfront apple, it was perfect, it was fun, I learned so much and my love for Apple grew and grew over 8 months that I was there. I gained a good relationship with the customers and helped the, learn more about there products. .  A typical day for me would be a Friday as I would be at college from Monday to Thursday. Usually it would start off busy but then throughout the day it would slow down. But I would find things to do to keep busy I.e. stock the shelves if they look empty.",Got good incentives,Could be slow somedays
13,4.0,"A very different type of atmosphere, great vibes everywhere","I would love to work here again, there is some ups and down about the place but where else doesn’t it be like that. But I would favor it in more of the good than the bad when working with Apple. Also it is a sweet company to work for.",,
14,5.0,Very enjoyable experience,"Apple are a very organised company that treat you very well, providing good faciliteas for their staff and very considerate to members of the public, I can highly recommend them to anyone seeking employment with Apple.",Good pay rate,
15,5.0,The twilight hours are late afternoon until early hours in the morning.,Nice place to work except the twilight hours. I would love a Monday through Friday job. The experience I received there was very beneficial to me .The workplace was hard because of the late shift hours but the location was in a building that has a lot of employees so you don’t know them all and there were no windows so you never saw the day time. The hardest part of the job was the late hours. Enjoyable part was learning everything about the products.,During peak times they provide food.,The twilight hours get to you after 2 years. I want a normal 40 hour work week
16,4.0,I learned that iStore is one of the best companies to work for. Also it thought me a lot on how to do stock management.,Good Company and very friendly people. . I learned that iStore is one of the best companies to work for. Also it thought me a lot on how to do stock management.,Good company. Good structure. Good people,They could increase salaries a bit and work less hours
17,4.0,Good experience,Overall it’s a great experience if you’re open minded and able to adapt with the ever changing culture. Depending on what location that you are at it may be room for advancement.,Benefits are great,No room for advanced
18,5.0,ambiente proactivo,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,buenas prestaciones,intermediarios en la parte administiva hacia los empleados
19,4.0,Good,Has a good time working for Apple would highly recommend any friends or family to go and work there. Fast paced but still enjoyable at the same time. G,,
20,2.0,Eh,It’s difficult to move up. Management plays favorites and the only thing they look for in interviews is if you can tell “good stories” not if you deserve the job or even if you’re qualified for it. Some team members have admittedly lied during interviews because they knew what management wanted to hear.,,
21,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
22,4.0,Very productive fun work place,"A typical day at work involved meeting lots of customers plus learning and having fun with your co-workers. The management was excellent genuinely desiring your progression both personally and professionally. It was an extremely fast paced fun place to work. The most enjoyable part for me was being a part of a dynamic team of people who encouraged you to learn, grow and think outside the box.",,
23,5.0,Ambiente lavorativo energico e assolutamente stimolante!,"Lavorare in Apple è un esperienza più unica che rara, che a prescindere dal periodo di collaborazione, ti lascia un impatto assolutamente positivo!",convenzioni varie con terze parti.,Nessuna.
24,4.0,Excellente Expérience,"Excellente première expérience, possibilité d'evolution et une excellente ambiance",Ambiance,Salaire
25,5.0,No,I enjoy working for Apple. I am a technical specialist which allows me to help people. I am in constant contact with new amazing people and they leave happy after I assist them.,,
26,5.0,stimolante,"lavorare in apple e' una esperienza umana oltre che lavorativa, l 'ambiente di lavoro e' rilassante ed i managers sono molto disponibili a farti crescere professionalmente l unico lato negativo e' che si e' giudicati dal cliente che deve votarti a seguito di un sondaggio e' tutto cio' spesso non corrisponde alle reali qualita' di chi ci lavora",,
27,4.0,Great place to work,Apple is a great place to work unless you're very family or work/life balance oriented. Attention to detail and the excitement to enable customers to love the great products are paramount. Dealing with ambiguity of a secretive company is very difficult.,Apple Confidential,Apple Confidential
28,4.0,"They create better people, not employees","This company has it all figured out.  They take care of their employees, and foster a ever-growing, ever-learning environment.  Much of what I learned during training was not about technology, but how to address and console people.  How to reconnect our customer with the quality products they once loved.  They are consistently thinking of ways to give back to the environment, community, and the world!!","Free lunches, product discounts","chaotic environment, loud, always on your feet, cramped backstage quarters for employees, No consistant schedule"
29,4.0,Good company,Was good overall. No complaints. Complex if you don't self educate or take your time. Will give incentive if needs are met but not an easy task. Not recommended for anyone easily distracted.,,
30,2.0,Quite hard to meet expectations,"Working for Apple has been great so far, what I always hated about the job, was all of the unfair surveys I got, in the chat queue, there was always some instance where the system would link a case to you (a business chat which was multi advisor) and even if you replied only: ""Bye, take care"" and the chat ended there, the system would link the survey to you whether you handled it completely or not, just because you were the last one to handle it, and this really affected my personal metrics which I hardly would reach and also my view on the company, and always managers only on the customer's side even if you did great.. It really was a pain. Stress was always there and the training to be honest was terrible.. We were thrown into Nesting not knowing anything at all about the product and the worst part was that those months' metrics were already being counted and all our training team did terrible.. It's been 7 months working for them, and I am still learning, and always complaining about the survey system.","You meet really nice people, on site support is great, when you are at home is terrible","Stressful, managers always on customers' behalf, incorrect received surveys (even if you were on chat and needed to transfer over the phone, you would get a negative survey just because the call was hung up, totally unrelated to you)"
31,5.0,Great company,I love how the job pays weekly and it’s $14. Great for paying benefits when you can’t work. Do your best to get hired through Apple and not the Volt temp agency.,,
32,4.0,The people are everything,"The people and diversity make it a wonderful place to work. Culture of development and feedback is a breath of fresh air. Very fast paced and if you don't like change, not the place to be.",,
33,5.0,Second best Job I ever had,Work was fun. Not difficult at all. Frankly it was entry level work. The problem happens because ID dictates work so all you do is make a lot of design changes. There is no challenge in the work. It is just keeping up with constant changes.,Easy work.,Lot of non engineering management.
34,1.0,How they treat their residents,I enjoyed working at Apple Rehab. At the same time I feel like they are unfair to their employees and to the residents. And that management should work together better do you make sure they're stuffed well. Also feel that they should right there handbook better to clarify resident and employee relationships to state that they do not allow you to have any type a relationship with the residents even after they have left. residents this residence leav e and come back,You meet lots of different residence and enjoy getting to know,Management is not together and do not work together to accommodate employees.
35,5.0,Awesome place,It is really refreshing to work for a company that truly cares for and about everyone! It took me by surprise that a huge name like apple cares so much and does so much for not only customers but employees! It really sucked to leave!,,
36,5.0,A++ Review,Support and growth plans from leadership. A general concern over employees wellbeing and happiness at the company. Apple strives to give back and be a part of the community.,"Fair pay, respect, good leadership, breaks.",High speed work environment
37,4.0,great pay very stressful customers,Great culture even working from home but customer surveys are out of your control for all issues.  Also the benefits are top notch!  Great discount on products as well,pay,stress
38,5.0,"Great culture, fast paced!","I had a fantastic time working for apple. I learned a lot about how to give and receive feedback, and a lot about empathy/sympathy. Working on the Genius Bar taught me about time management and setting expectations among many other interpersonal skills. Management for the largest part is very supportive and willing to help you progress. Everyone gets along in teams, and is willing to help one another out. The people are the best part of Apple.","Free lunches, supportive management, fantastic benefits.",Sometimes long hours.
39,1.0,Poor management,Managers have their favorites. They will prioritize people who suck up to the management then people who are genuine hard working. I was on a temporary contract and worked very hard during the Christmas time. I was on top relating to the sales and service but when giving the permanent contract i was ignored with few other hard working people. People who got the job was someone who would always sweet talk to the managers or had a relative already working there. Very very sad experience with management in trafford center.,Discounts and colleagues,Management -
40,5.0,It’s okay,You’re one of many in an aisle who perform the same task for 8 hours. If you don’t like being slotted in a seat for all of the day don’t apply. It is decent paying reflecting the workload,Firm Schedule Set Hours,"Temp, Boring"
41,5.0,Best place to work,The management is so supportive! The environment is fun and innovative. The sustainability of the company and the earth are intertwined! Accessibility makes Apple available to everyone. I love how I feel as if I'm making a difference in the customers world.,"Pay, creativity, support, benefits, healthcare",
42,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
43,3.0,Would have stayed if they'd paid,"As a.company they are very invested in their staff's speedy advancement and training, unfortunately the pay scale is low when compared to the responsibilities and expectations.",Room for growth,Low rate of Compensation
44,4.0,fun,"Need to be more advancement opportunities. Ability to earn commission not there. Great to get involved with the business team, actively encouraged to recruit business clients for them.",,
45,5.0,"Outstanding Culture, People, & Work Environment!",Best job of of my life! From the moment I started working for this company it was all about creating enriching moments for every person. This job changed my life for the better and made me a better person.,,
46,5.0,So Thankful,"Throughout Covid-19 when they closed the stores, we were still paid and worked from home. Not one employee was let go, and our benefits were still there.",,
47,4.0,Good benefits not enough flexibility,Working for Apple is amazing simply because the prestige of the company. The pay is great and there are a lot of opportunities to pick up hours. Lots of benefits and perks. Only complaint is being a college student it takes a toll on your social life since the do require you to work nights and weekends.,Lots of extra hours to pick up,Hard to balance social and work life
48,5.0,Amazing culture,Apple has an amazing job culture and makes sure all employees are included in understanding their values. Benefits are some of the best I have ever had with an employer. Hard work is rewarded and recognized. I can’t say enough great things about my experience at Apple!,,
49,5.0,Ambiente de trabajo muy genial,Es una empresa donde es fácil desarrollarse y tener un buen salario.,,
50,5.0,Productive,Working at apple I enjoyed always having something to do. There was never a time where I felt like there was nothing to do or uninterested in the job. The tasks I had to do kept me going each shift as well as the customers and being able to solve their issue.,,
51,3.0,Special Treatment and double standards,"I worked at the apple store in Hamburg Jungfernstieg, Germany.. As technical specialist I handled warranty services and repair services.. My performance was alright to good but I got fired nevertheless.. In 6 Months I made one mistake that I have been aware of but the management stopped talking to me until they fired me on my last day of probation. Fortunately I made good friends with Co workers, they are not to blame for the management and their sometimes bizarre statements or visions. So mixed emotions in the end, but everyone is welcome to make their own experiences",,
52,5.0,perfect and calm place to work,Apple is a amazing place to work.. They have a really good benefits and the company provide always the best.. I am so happy to work there.. My clients and my co-works are my friends too,,
53,4.0,Multi racial and productive workplace,"I have gained valuable experience during my time in Apple. My seniors,  managers and trainers were approachable and willing to guide us. The satisfaction from the happy customer review was part of the motivation of the job. My manager even share with us his best practices. The downside is probably the dissatisfied customer survey which was included as part of your performance even when the feedback isn't about you.",,
54,4.0,One of the Best!,"This is by far one of the most fun and engaging companies i have worked with. The new models they introduce ahead of time, and software updates. Honestly all around a great place to work. The Bonuses are awesome too, you have the opportunity to win newer products as they drop also. Fun environment as well as educational. Two thumbs up!",,
55,5.0,Amazing team and incredible working environment.,"Working at Apple was by far one of my favorite jobs to ever work. As someone who was familiar with Apple products but not completely into technology, I found the training to be very fun and educational. Teamwork is encouraged, especially when it comes to handling tougher customers so you will no doubt build great relationships with co-workers in a short amount of time.",,
56,5.0,Travail en équipe,"J'ai aimé travailler en équipe, conseiller les clients et me sentir épanouie.",,
57,3.0,"Good work, High Volume Call Center","If you enjoy a call center environment it is great. Little troubleshooting knowledge is actually needed, customer service skills will take you far. Metrics can be unforgiving at times but it is understandable.",,
58,3.0,Commutable,My co workers were great decent pay decent hours although you must be flexible and able to lift more then 30 lbs. . store was customer friendly which is ok to a certain extent .,,
59,4.0,"Ambiente relajado, competitivo y demandante","Revisión de indicadores, presupuesto, supervisar tiendas, resolución de conflictos entre el personal, atención a clientes y solución de quejas",,
60,2.0,Guided Retail,All the downsides of your typical retail job branded with the Apple logo. Management plays favorites and actively blocks advancement opportunities for those they don’t like.,,
61,4.0,Great for college students but zero flexibility in schedule.,"I have been at Apple as a part time field sales specialist for three years. Apple puts their people first and always takes care of the customer, which makes going to work great. Being in a part time role, I have worked Friday through Sunday from open to close basically for three years. While it was what needed to be done for me to finish my college education, it has been personally very taxing on my mental health. There is no flexibility in the schedule whatsoever for part timers in this channel of Apple. I know the actual Apple stores are a little different because employees have the ability to swap a shift with someone and they have a larger staff but in this channel it's just me covering my location. If I need a day off or I am sick my store is left without coverage so the flexibility does not exist. There is no room for promotion, which is often the case at Apple retail as well. My spouse has worked as a supervisor for Applecare at home for about six years and it's the same thing with that channel as well. The benefits are above average. I think pay is a little above normal, enough to make staying worthwhile until you find the right fit if you're ready to leave, but medical/dental/vision, etc. are good. Apple offers a variety of discounts on products & services to employees, as well as ways to give back through employee matching programs. Apple has a huge inclusivity stance. Politically, I would say most people, including leadership, fall left so for the few people who fall more conservative whether it be social issues, system issues, etc. at this time they are very alienated. - more...",,
62,5.0,Increase production activity and market management,"Production community and pocket area development. Orchard Plantation and management . Improved Harvesting and post harvest manaGenentech practices. Established community marketing centre . Organized Training and workshop . Project monitoring, evaluation and reporting",,
63,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
64,4.0,It’s a good company to work for. If you’re full time you’re going to feel like you live in the store. Networking is amazing.,A lot of hours if you’re full time. Inclusion. Depending your store management can be ok or pretty bad. Pay is fairly ok compared to market. You have great benefits and amazing resources like no other company,Benefits,
65,5.0,best job I've had,I learned a lot and great benefits. they teach you personal and technical skills. you have a coach to help you throughout your work days. you have to give a lot of feedback and receive a lot of feedback,,
66,5.0,"Productive, the company really cares about you","Nothing but wonderful things to say about Apple. The work was productive, the timelines for projects and goals were realistic. My manager was serious but also understood to be human.",,
67,5.0,Apple cares about employees,"Apple/the people of Apple seem to genuinely care about employee safety, wellness, and mental health. The pay and benefits are top-notch..  Keep in mind, though, that everything you do is monitored - how long you were on a call, when you were typing, how long you were in the bathroom, even what buildings you go into.",,
68,5.0,Open and welcoming environment,"Apple allows employees the opportunity, flexibility and environment to be creative while also providing a structure and training that surpasses all other work cultures.",,
69,2.0,Call center not worth the pay,"You don’t get paid enough for what you deal with. Yea you get to work from home but means nothing, when you have more freedom at a factor then you do working here at home.",Work from home,Work this job
70,5.0,Excellent place to work,"Excellent place to work, friendly stff and management. Highly recommend. Team oriented environment, along with a flexible schedule. Apple has career advancement.",,
71,4.0,An engaging environment with great talent,Apple created a fun and dynamic environment by creating opportunities for employees to progress to other roles within the retail setting. The quality of the work environment fluctuated with changes in management.,,
72,4.0,"Time has changed, so has apple","Apple is a great place to work. For so many people it is amazing, the times changed and I wasn't the person to carry that forward. Would recommend though....",Amazing people.,"Decisions come from the top down, Innovation is promoted although there is little opportunity to act upon it."
73,3.0,"So far, a great journey","Confidentially, cannot say too much. But it’s worth to try in your life!",Great benefit,Poor leadership
74,5.0,The best so far. I will love to work in this company over and over again,They support and care for their employees. You have a great opportunity to grow with this company . There is also no discrimination of any kind. So much flexibility,,
75,4.0,Nice and easy going environment,Nice working place but the position i'm working for is more on geographical matters which i'm not very familiar hence i decide to go back to my forte.,,
76,4.0,Not consistent across teams,"I have worked for some real tyrants that made my life really difficult and prompted a mental breakdown and medical leave. I am currently working for an amazing and supportive boss now. My old boss still works at apple and in my opinion should have been fired given that she harassed me for years and I know she is bullying her current direct reports. If you stick it out long enough, you can find a good team to work with but you never know.",,
77,5.0,Productive Place and Fun learning process,A great place to hone your skills in customer care and support. Apple standards is always high and they are expecting you to meet those standards. Challenging but well rewarded.,Comfortable workplace,High Standard are to be met
78,5.0,Demanding but very rewarding,"You'll start the day on calls that could be a stretch of 30mins-3hrs. Varying breaks and other time off during the day makes it fair. Time management and self discipline are extremely important in this job..  Going into the role of technical support I already had a great interest in technology and a desire to help others. It's this common interest in both areas that makes the job much less stressful and complex than it might otherwise be. The combination of initial training, ongoing training, and the push to perform just makes you feel like Apple wants you to be the best you possibly could be without going over the edge..  It's not a job for everyone and you need to be in the right headspace to excel. The job was fairly tricky for the first few months but was quick to get to grips with. Experiencing both late and early shifts I would say it's somewhat easy to adapt to but this is very much on an individual basis. It will or won't work for you. No review can answer how you will adjust, that's up to you to discover..  In addition to the daily work you reap the benefits of working for the best technology company on the planet. Health & dental insurance, pension plan, stock options, and discounts across a range of products..  After my first year at Apple I really felt like I made the right move; thinking that I've become a better person because of where I work and what I do. Going on 5+ years in the job this still rings true with me.",,
79,4.0,A fun place to work with customer satisfaction.,I truly liked working at Apple because of the technology the company designed and offered the customers. The company taught their employees how to become experts in their field.,Immediate - Customer satisfaction.,Poor salary paid.
80,4.0,Working for Apple retail,There is constant learning as products and operating systems are constantly being updated. You are dealing with the public and that could be good or bad depending on why the customer is in the store.,,
81,5.0,You feel like you are part of a big family,"Great place to work while you are studying.. Flexible hours of work.. Competitive salary, amazing health and retirement benefits.. Room to grow within the company.",,
82,5.0,Customer needs,With Working with Apple I understand how to know about costumer Queries and how to Queries convert into solutions and how we gave I better and perfect product.,,
83,3.0,Apple Summary,"I am in operation for Singapore, responsible for supply demand management. The biggest advantage of working here is that everyday you have some new problem in SC to debug",,
84,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
85,5.0,Fun and Collaborative Working Environment,"Every day starts as a team, with collaboration and a little competitiveness throughout the day.. I really enjoyed working for such a fun and welcoming company!",,
86,5.0,Apple is a Top Company to work for,"My role was to sell and support business customers with hardware, software and service solutions for new and existing accounts. I would advise customers on use of Apple products to run their business effectively and efficiently.  Terrific environment, excellent management and great benefits at Apple.",,
87,5.0,Caring and Friendly Environment,"I would work a few different times a week and any hours in a row. I learned a lot about how to treat a customer. I have already had many years of experience with Apple devices and with a passion for helping others. The management was very helpful in finding different ways for me to succeed in the customer experience and myself improving within the company. Every coworker I had was extremely helpful and supportive of one another. I learned a lot during that job and so did they so if either one of us had a question we could ask one another. The hardest part of the job was definitely finding different solutions to each customers' problems. I worked my hardest with each different customer to find the solution because that is the reason they came into the store. The most enjoyable part of the job was helping my coworkers and customers, having a team that were so caring and friendly, and using technology to help benefit people's lives.","Supportive, friendly environment, caring, hard working, customer service",
88,2.0,high volume,"No problem working in the high volume, fast paced. Lousy pay!!. The management does have their favorites and its obvious. Will work you like a mule.. Management is shady.",,
89,5.0,Cool benifits,Love working at Apple. People there are great to work with. Management is fantastic. Love working with a company that champions the employees as much as the customer.,,
90,5.0,Productive and a fun place to work at,"My time at apple was awesome. The company really cares about its employees and customers, overall a great feeling. Full of great people and a healthy environment.",,
91,5.0,Amazing,The best job I’ve ever had in my life. If the hourly pay was higher I’d still be working there. It’s a family and culture that I miss everyday. I would recommend the experience to everyone.,,
92,5.0,Productive fun work environment.,Very caring and inclusive to all. I enjoyed my time and the role I played there. A very welcoming and learning environment. I enjoy the customers and the lifestyle Apple provides and promotes. It was something that I was proud to be apart of considering it wasn’t at all different from the way I live outside of am work environment.,,
93,5.0,Fun place to work,I will recommend people to work at Apple. One thing that fascinating working at Apple was the diversity at the working. Friendly oriented environment workplace.,,
94,5.0,"Inclusion, Diversity, Integrity and constant growth",Great workplace culture. You always feel welcome and you learn something new everyday. Apple values their employees first and foremost and their customers. They live their credo.,The people and the culture,"It's retail, so sometimes the hours can be long"
95,5.0,Working at Apple,"I loved working for Apple. By far, one of the best jobs I’ve ever had. The workers are so understanding and actually care about each employee. I was able to really create a relationship between myself and my customer, something a lot of fast-paced environments don’t allow. I’m a very person-oriented worker, so I loved that. On the other hand, due to the long hours and slow pace, I did get tired and I wasn’t able to really stay at the job due to the fact that school was my first priority and they couldn’t really understand that or allow me to cut down on my hours. Apple is a great place to work if you don’t have a higher priori",,
96,4.0,Gud,It was great experience to work at Apple. They are very fair with their employees. They appreciate for your hard work. I had really good time at Apple.,,
97,4.0,Great Culture,"Apple retail is very focused on fostering the best culture possible, and they do quite a good job of it. I have worked at two different stores in different state, and while small things may feel different between them the overall culture is similar.",,
98,3.0,"Typing , drawing","A typical day at work , wearing drawing beautiful  like means that . The drawing should have a beautiful colour old should have something feel it's should have a like means a it's real drawing",Nice,Nice
99,4.0,Intense and Dynamic place to work,Management team has a clear idea how to get very high quality products out.. Tough and intense place to work.. Everyone working together are very driven.,,
100,4.0,Apple really takes the time to care about their employees,Apple puts customers and employees at the top of their focus. Apple makes sure that we are happy and taken care of in order to make sure that the customers are happy,,
101,5.0,Trabajo fuera de lo normal totalmente. Muy exigente en cuanto tiempo de dedicación.,"La experiencia es altamente recomendable, hace falta temple y conocimientos para hacer frente a multitud de problemas",,
102,4.0,Apple was a wonderful place to be employed,I worked at Apple for five years. My time there was always interesting as I moved positions often. This coupled with the other amazing people that worked there made my days always challenging and interesting.,,
103,3.0,Could be better,"Right from the off it was obvious who were management’s favourites. Usually the ones who drank the kool aid. Work/home life balance is nonexistent. I never worked the same shifts per week in 5 years. Some weeks working 7 days straight. There’s a lot of ageism in the company too. Very few staff members over 40, and even fewer over 50.",,
104,5.0,Best place to start you career,"Working at Apple was a great experience. Work never fells like work because I love what I do and I love interacting with the public. The store is always electric, although others may say crazy. I'd say electric because the experience is exhilarating.",,
105,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
106,5.0,Amazing company,"Atmosphere was great, not too strict. I loved coming to work everyday. Was able to wear what I wanted. I felt so comfortable in my job and work space.",,
107,2.0,Very Inflexible,"Unwilling to listen to feedback despite claiming otherwise, inflexible in company methods even when spearheading a new program. Punished for over performing existing employees instead of encouraged to grow.",,
108,5.0,strong team spirit,"my past work experience mostly at office, not usually face with different kind of people. Apple have ways to make you be a part of it and you won't feel you are newbie. The culture is very strong, every store use same culture same gesture same style.","happy mood, stable working hour, self training course","salary, shift working hour, too many review"
109,5.0,Productive,Love working at Apple. People there are great to work with. Management is fantastic. Love working with a company that champions the employees as much as the customer.,,
110,3.0,Great company but poor local leadership,"Apple as a company is amazing. Unfortunately, I worked for nearly 8 months and was unable to go from part-time to full-time. The schedule was very difficult to manage as I had to work another part-time job. Apple was not accommodating at all in working with my other schedule. This was the most frustrating thing about Apple. They wouldn't promote me to full-time, even though my stats and attitude were well above average, yet expected me to make them my priority for scheduling. .  The leadership at West County is poor. Some of the managers were absolutely amazing while others, mine especially, were more interested in a popularity contest rather than work output and customer experience..  I really miss working for the company and have been tempted to return to a different location.",,
111,1.0,Don’t work for Apple,If you want stress go for it. No support. Managers are bullies. They should be sacked. No empathy. No compassion. No humans work for Apple. They are like robots . Micro managed to ridiculous heights . This company sounds like a dream to work .  Work for. It ain’t .  Find a job elsewhere..,,
112,2.0,Bueno Dentro de lo que cabe,"No te contrata apple directamente y eso no te lo dicen, no pagan horas extras, te exigen vender seguros a base de mentiras y nunca te apoyan con clientes problematicos, los de R.H. son muy torpes e ineficientes",Comisiónes,Horas extras
113,4.0,Great company to work for,It was a great experience. It was temporary for the holiday season but I was able to learn a lot about the job and myself. Any job that allows you to figure out yourself is a good job in my book.,,
114,4.0,"Fun, decent money, a bit receptive","As most retail positions are, the work can get a bit repetitive. The work culture is fun if you get along with your co-workers, but know-it-all customers can become quite confrontational and annoying. .  Fun to be the first to see the new Apple technology. If you have a passion for technology, it is a massive plus.",,
115,1.0,Little chance of career advancement,"Little chance of career advancement   The pay as a homebase advisor sent solely based on your ZIP Code and not on your skill sets. After several years I was making less money than when I had started. Managers often gave different information and was not consistent. Management enjoys the slogan the only constant is change; however, that is no way to run a business.",Great benefits,Poor pay and advancement opportunities
116,5.0,The company is ok,Apple is a company to work for no complaint the job is getting a lot better the company has a big turn over they're constantly hiring because they are very strict on metrics,,
117,5.0,Amazing place to work,You feel looked after and genuinely a part of a team. They consider you equal and there is not a barrier between you attaining knowledge and experience from colleagues that have been around longer than you,,
118,3.0,Good work with various amenities,Was a good experience with various technology opportunities and fast-paced achievable goals. Working with offshore teams created a need for late hour sessions.,,
119,4.0,decent place to work,"decent place to work. As with large companies, politics are big here.. Overall work is highly demanding, high attention to great detail,. but a good environment, and excellent results. Pressure is standard.",,
120,3.0,Beautiful buildings with numerous facilities.,"I worked through a staffing agency at Apple. The total years of employment listed are with the Staffing Agency I worked with, not at Apple. I loved the campus, it is so expansive. The facilities on campus are so convenient, their gym, the dining provided, the break areas stocked with food & beverages...",,
121,5.0,Apple is an equal opportunity employer,As a Technical Advisor working from home is always a bonus.. Apple offer full training and support their staff better than any employer I’ve worked for.. It can be isolating if you’re a hands in people person. However every job has its benefits and downfalls. It’s a matter of personal opinion.,,
122,5.0,appel,jag tycker att det är bra att jobba här hos appel med,,
123,5.0,good,- Very good work culture.. - I have learnt at a lot working for the apple security team.. - Apple has great agile environment.. - We celebrate happy hours frequemtly,,
124,3.0,Poor,It was okay at first but things got difficult and I haven't gotten paid well in this job so I wasn't able to support my infant it was hard to find certain things,,
125,5.0,"Cooes Team, schwere Aufstiegsmöglichkeiten","Es hat immer spaß gemacht und die menschen die man dort kennenlernt sind super. Man fühlt sich wie in einer Familie. Allerdings ist auch an diesem Standort das Management mit Sympathie zu beeindrucken anstatt mit Leistung. Leider, das größte Manko dort.",,
